CacheSize,ClassicLruHitRate,MemoryCacheHitRate,ConcurrentLruHitRate,ConcurrentLfuHitRate
25,12.339894258281078,12.74970724856239,30.736589709710316,28.783227692329305
50,21.441939220308402,22.286008817050057,38.53992763913624,37.2522360657507
75,27.84286871100062,28.721900126577438,42.52505320143473,40.92056906219085
100,32.25609649363885,33.014461803950915,45.10352246066628,43.06310040802911
125,35.30941454952625,35.74673719979668,47.223617055364834,44.57297200991882
150,37.484624347754924,37.83348438709171,48.6901492918052,47.162855871524066
175,39.10013286561485,39.372468911151955,49.93844833431874,48.24502662608191
200,40.35904822418645,40.575865463335525,50.836779102023776,49.019125758302316
